epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.383,nan,nan,nan,0.00101,0.00524,0.00052,0.00011,nan,nan,nan,0.000554741,0.000554741,0.000554741
2,449.125,nan,nan,nan,0.00179,0.00983,0.00093,0.00017,nan,nan,nan,0.00108842,0.00108842,0.00108842
3,684.391,nan,nan,nan,0.00075,0.00393,0.00038,8e-05,nan,nan,nan,0.0016001,0.0016001,0.0016001
4,921.566,nan,nan,nan,0.00101,0.00524,0.00052,0.0001,nan,nan,nan,0.00156798,0.00156798,0.00156798
5,1158.95,nan,nan,nan,0.00066,0.00328,0.00034,9e-05,nan,nan,nan,0.00153497,0.00153497,0.00153497
6,1396.5,nan,nan,nan,0.00109,0.0059,0.00056,0.00015,nan,nan,nan,0.00150197,0.00150197,0.00150197
7,1633.95,nan,nan,nan,0.00052,0.00262,0.00026,6e-05,nan,nan,nan,0.00146896,0.00146896,0.00146896
8,1871.7,nan,nan,nan,0.00111,0.0059,0.00057,0.00012,nan,nan,nan,0.00143595,0.00143595,0.00143595
9,2111.16,nan,nan,nan,0.00112,0.0059,0.00058,0.00013,nan,nan,nan,0.00140295,0.00140295,0.00140295
10,2352.65,nan,nan,nan,0.00135,0.00721,0.0007,0.00012,nan,nan,nan,0.00136994,0.00136994,0.00136994
11,2596.65,nan,nan,nan,0.00089,0.00459,0.00045,0.00012,nan,nan,nan,0.00133693,0.00133693,0.00133693
12,2836.14,nan,nan,nan,0.00088,0.00459,0.00045,8e-05,nan,nan,nan,0.00130393,0.00130393,0.00130393
13,3076.12,nan,nan,nan,0.00112,0.0059,0.00057,0.00011,nan,nan,nan,0.00127092,0.00127092,0.00127092
14,3314.81,nan,nan,nan,0.00104,0.00524,0.00053,0.00011,nan,nan,nan,0.00123791,0.00123791,0.00123791
15,3553.63,nan,nan,nan,0.00126,0.00655,0.00064,0.00011,nan,nan,nan,0.00120491,0.00120491,0.00120491
16,3791.72,nan,nan,nan,0.00146,0.00786,0.00076,0.00017,nan,nan,nan,0.0011719,0.0011719,0.0011719
17,4029,nan,nan,nan,0.00078,0.00393,0.0004,0.00011,nan,nan,nan,0.00113889,0.00113889,0.00113889
18,4266.37,nan,nan,nan,0.00101,0.00524,0.00051,0.0001,nan,nan,nan,0.00110589,0.00110589,0.00110589
19,4504.42,nan,nan,nan,0.001,0.00524,0.0005,0.00012,nan,nan,nan,0.00107288,0.00107288,0.00107288
20,4743.89,nan,nan,nan,0.00088,0.00459,0.00045,9e-05,nan,nan,nan,0.00103987,0.00103987,0.00103987
21,4982.81,nan,nan,nan,0.00066,0.00328,0.00033,9e-05,nan,nan,nan,0.00100687,0.00100687,0.00100687
22,5221.7,nan,nan,nan,0.00125,0.00655,0.00065,0.00014,nan,nan,nan,0.000973861,0.000973861,0.000973861
23,5460.24,nan,nan,nan,0.00075,0.00393,0.00038,6e-05,nan,nan,nan,0.000940855,0.000940855,0.000940855
24,5698.98,nan,nan,nan,0.00112,0.0059,0.00057,0.0001,nan,nan,nan,0.000907848,0.000907848,0.000907848
25,5939.3,nan,nan,nan,0.00086,0.00459,0.00044,9e-05,nan,nan,nan,0.000874842,0.000874842,0.000874842
26,6179.9,nan,nan,nan,0.00074,0.00393,0.00038,7e-05,nan,nan,nan,0.000841835,0.000841835,0.000841835
27,6420.36,nan,nan,nan,0.00141,0.00721,0.00072,0.00012,nan,nan,nan,0.000808828,0.000808828,0.000808828
28,6660.15,nan,nan,nan,0.00103,0.00524,0.00052,8e-05,nan,nan,nan,0.000775822,0.000775822,0.000775822
29,6900.53,nan,nan,nan,0.0012,0.0059,0.00062,0.00012,nan,nan,nan,0.000742815,0.000742815,0.000742815
30,7140.12,nan,nan,nan,0.00137,0.00721,0.00071,0.00015,nan,nan,nan,0.000709809,0.000709809,0.000709809
31,7380.02,nan,nan,nan,0.0011,0.0059,0.00057,0.00013,nan,nan,nan,0.000676802,0.000676802,0.000676802
32,7619.51,nan,nan,nan,0.00091,0.00459,0.00046,9e-05,nan,nan,nan,0.000643795,0.000643795,0.000643795
33,7858.48,nan,nan,nan,0.00211,0.01114,0.00109,0.00019,nan,nan,nan,0.000610789,0.000610789,0.000610789
34,8098.03,nan,nan,nan,0.00038,0.00197,0.00019,3e-05,nan,nan,nan,0.000577782,0.000577782,0.000577782
35,8336.75,nan,nan,nan,0.00119,0.00655,0.00061,0.00017,nan,nan,nan,0.000544776,0.000544776,0.000544776
36,8575.54,nan,nan,nan,0.00061,0.00328,0.00031,6e-05,nan,nan,nan,0.000511769,0.000511769,0.000511769
37,8813.95,nan,nan,nan,0.00099,0.00524,0.00051,7e-05,nan,nan,nan,0.000478762,0.000478762,0.000478762
38,9052.21,nan,nan,nan,0.00065,0.00328,0.00034,5e-05,nan,nan,nan,0.000445756,0.000445756,0.000445756
39,9290.67,nan,nan,nan,0.00061,0.00328,0.00031,6e-05,nan,nan,nan,0.000412749,0.000412749,0.000412749
40,9528.81,nan,nan,nan,0.00101,0.00524,0.00051,0.00011,nan,nan,nan,0.000379743,0.000379743,0.000379743
41,9764.76,nan,nan,nan,0.00084,0.00459,0.00043,9e-05,nan,nan,nan,0.000346736,0.000346736,0.000346736
42,9999.91,nan,nan,nan,0.00066,0.00328,0.00033,6e-05,nan,nan,nan,0.000313729,0.000313729,0.000313729
43,10235.3,nan,nan,nan,0.00116,0.0059,0.00059,0.00012,nan,nan,nan,0.000280723,0.000280723,0.000280723
44,10470.7,nan,nan,nan,0.00051,0.00262,0.00026,5e-05,nan,nan,nan,0.000247716,0.000247716,0.000247716
45,10706.5,nan,nan,nan,0.00112,0.0059,0.00058,0.0001,nan,nan,nan,0.00021471,0.00021471,0.00021471
46,10943.4,nan,nan,nan,0.00138,0.00721,0.0007,0.0001,nan,nan,nan,0.000181703,0.000181703,0.000181703
47,11183,nan,nan,nan,0.00124,0.00655,0.00063,8e-05,nan,nan,nan,0.000148696,0.000148696,0.000148696
48,11423.3,nan,nan,nan,0.00064,0.00328,0.00033,6e-05,nan,nan,nan,0.00011569,0.00011569,0.00011569
49,11662,nan,nan,nan,0.00093,0.00459,0.00047,8e-05,nan,nan,nan,8.26832e-05,8.26832e-05,8.26832e-05
50,11902.6,nan,nan,nan,0.00164,0.00852,0.00084,0.00013,nan,nan,nan,4.96766e-05,4.96766e-05,4.96766e-05
